sigma,method,mean_nmi,std_nmi,q1,median,q3
0.1,outlier_pursuit,1.0,0.0,1.0,1.0,1.0
0.1,rpca,1.0,0.0,1.0,1.0,1.0
0.1,spectral_unnormalized,1.0,0.0,1.0,1.0,1.0
0.139,outlier_pursuit,1.0,0.0,1.0,1.0,1.0
0.139,rpca,1.0,0.0,1.0,1.0,1.0
0.139,spectral_unnormalized,1.0,0.0,1.0,1.0,1.0
0.193,outlier_pursuit,1.0,0.0,1.0,1.0,1.0
0.193,rpca,1.0,0.0,1.0,1.0,1.0
0.193,spectral_unnormalized,1.0,0.0,1.0,1.0,1.0
0.268,outlier_pursuit,1.0,0.0,1.0,1.0,1.0
0.268,rpca,1.0,0.0,1.0,1.0,1.0
0.268,spectral_unnormalized,1.0,0.0,1.0,1.0,1.0
0.373,outlier_pursuit,1.0,0.0,1.0,1.0,1.0
0.373,rpca,1.0,0.0,1.0,1.0,1.0
0.373,spectral_unnormalized,1.0,0.0,1.0,1.0,1.0
0.518,outlier_pursuit,0.018639764244343528,0.0,0.018639764244343528,0.018639764244343528,0.018639764244343528
0.518,rpca,1.0,0.0,1.0,1.0,1.0
0.518,spectral_unnormalized,1.0,0.0,1.0,1.0,1.0
0.72,outlier_pursuit,0.018639764244343528,0.0,0.018639764244343528,0.018639764244343528,0.018639764244343528
0.72,rpca,1.0,0.0,1.0,1.0,1.0
0.72,spectral_unnormalized,1.0,0.0,1.0,1.0,1.0
1.0,outlier_pursuit,0.018639764244343528,0.0,0.018639764244343528,0.018639764244343528,0.018639764244343528
1.0,rpca,1.0,0.0,1.0,1.0,1.0
1.0,spectral_unnormalized,1.0,0.0,1.0,1.0,1.0
1.389,outlier_pursuit,0.018639764244343528,0.0,0.018639764244343528,0.018639764244343528,0.018639764244343528
1.389,rpca,1.0,0.0,1.0,1.0,1.0
1.389,spectral_unnormalized,1.0,0.0,1.0,1.0,1.0
1.931,outlier_pursuit,0.018639764244343528,0.0,0.018639764244343528,0.018639764244343528,0.018639764244343528
1.931,rpca,1.0,0.0,1.0,1.0,1.0
1.931,spectral_unnormalized,1.0,0.0,1.0,1.0,1.0
2.683,outlier_pursuit,0.018639764244343528,0.0,0.018639764244343528,0.018639764244343528,0.018639764244343528
2.683,rpca,0.9858250447709814,0.02988342950307476,1.0,1.0,1.0
2.683,spectral_unnormalized,1.0,0.0,1.0,1.0,1.0
3.728,outlier_pursuit,0.018639764244343528,0.0,0.018639764244343528,0.018639764244343528,0.018639764244343528
3.728,rpca,0.7698121031549948,0.10208212849539465,0.7178434399302733,0.780486409903739,0.8526105077705127
3.728,spectral_unnormalized,0.8305053403450184,0.10009374137856925,0.7756236352992152,0.8332605526986675,0.8732946420712662
5.179,outlier_pursuit,0.018639764244343528,0.0,0.018639764244343528,0.018639764244343528,0.018639764244343528
5.179,rpca,0.4553516392741458,0.10285779939277104,0.3874440418773981,0.4091833894827556,0.5536679943657804
5.179,spectral_unnormalized,0.4732684884044846,0.15959081409550144,0.3600719949275813,0.4606073438010382,0.5695534829392088
7.197,outlier_pursuit,0.018639764244343528,0.0,0.018639764244343528,0.018639764244343528,0.018639764244343528
7.197,rpca,0.12266306787379692,0.1070146275784608,0.05908256099935234,0.08454467039552016,0.15921665411073946
7.197,spectral_unnormalized,0.20562207641598632,0.15313448472593977,0.08058731004893671,0.20525913161392836,0.2807363119426043
10.0,outlier_pursuit,0.018639764244343528,0.0,0.018639764244343528,0.018639764244343528,0.018639764244343528
10.0,rpca,0.030398146166208978,0.03280496961937303,0.009132815366962402,0.023850795203306924,0.040456246097678575
10.0,spectral_unnormalized,0.07392693997320861,0.09559239085037412,0.017268317079261457,0.036547449445124655,0.08563141882518704
