noise_density,noise_magnitude,method,nmi,simulation,signal_strength
0.05,0.0,spectral_unnormalized,1.0,0,2.0
0.05,0.0,rpca,1.0,0,2.0
0.05,0.0,outlier_pursuit,0.018639764244343528,0,2.0
0.05,0.0,spectral_unnormalized,1.0,1,2.0
0.05,0.0,rpca,1.0,1,2.0
0.05,0.0,outlier_pursuit,0.018639764244343528,1,2.0
0.05,0.0,spectral_unnormalized,1.0,2,2.0
0.05,0.0,rpca,1.0,2,2.0
0.05,0.0,outlier_pursuit,0.018639764244343528,2,2.0
0.05,0.0,spectral_unnormalized,1.0,3,2.0
0.05,0.0,rpca,1.0,3,2.0
0.05,0.0,outlier_pursuit,0.018639764244343528,3,2.0
0.05,0.0,spectral_unnormalized,1.0,4,2.0
0.05,0.0,rpca,1.0,4,2.0
0.05,0.0,outlier_pursuit,0.018639764244343528,4,2.0
0.05,0.0,spectral_unnormalized,1.0,5,2.0
0.05,0.0,rpca,1.0,5,2.0
0.05,0.0,outlier_pursuit,0.018639764244343528,5,2.0
0.05,0.0,spectral_unnormalized,1.0,6,2.0
0.05,0.0,rpca,1.0,6,2.0
0.05,0.0,outlier_pursuit,0.018639764244343528,6,2.0
0.05,0.0,spectral_unnormalized,1.0,7,2.0
0.05,0.0,rpca,1.0,7,2.0
0.05,0.0,outlier_pursuit,0.018639764244343528,7,2.0
0.05,0.0,spectral_unnormalized,1.0,8,2.0
0.05,0.0,rpca,1.0,8,2.0
0.05,0.0,outlier_pursuit,0.018639764244343528,8,2.0
0.05,0.0,spectral_unnormalized,1.0,9,2.0
0.05,0.0,rpca,1.0,9,2.0
0.05,0.0,outlier_pursuit,0.018639764244343528,9,2.0
0.05,2.0,spectral_unnormalized,0.7577078109175857,0,2.0
0.05,2.0,rpca,0.7577078109175857,0,2.0
0.05,2.0,outlier_pursuit,0.018639764244343528,0,2.0
0.05,2.0,spectral_unnormalized,0.8585594574581795,1,2.0
0.05,2.0,rpca,0.8782063702756283,1,2.0
0.05,2.0,outlier_pursuit,0.018639764244343528,1,2.0
0.05,2.0,spectral_unnormalized,0.8782063702756283,2,2.0
0.05,2.0,rpca,0.8347636587075117,2,2.0
0.05,2.0,outlier_pursuit,0.018639764244343528,2,2.0
0.05,2.0,spectral_unnormalized,0.8079616479391555,3,2.0
0.05,2.0,rpca,0.8585594574581797,3,2.0
0.05,2.0,outlier_pursuit,0.018639764244343528,3,2.0
0.05,2.0,spectral_unnormalized,0.7648442977525683,4,2.0
0.05,2.0,rpca,0.7265356414540423,4,2.0
0.05,2.0,outlier_pursuit,0.018639764244343528,4,2.0
0.05,2.0,spectral_unnormalized,0.8347636587075117,5,2.0
0.05,2.0,rpca,0.8347636587075117,5,2.0
0.05,2.0,outlier_pursuit,0.018639764244343528,5,2.0
0.05,2.0,spectral_unnormalized,0.8782063702756283,6,2.0
0.05,2.0,rpca,0.8585594574581795,6,2.0
0.05,2.0,outlier_pursuit,0.018639764244343528,6,2.0
0.05,2.0,spectral_unnormalized,0.7577078109175857,7,2.0
0.05,2.0,rpca,0.8079616479391557,7,2.0
0.05,2.0,outlier_pursuit,0.018639764244343528,7,2.0
0.05,2.0,spectral_unnormalized,0.8585594574581795,8,2.0
0.05,2.0,rpca,0.8782063702756283,8,2.0
0.05,2.0,outlier_pursuit,0.018639764244343528,8,2.0
0.05,2.0,spectral_unnormalized,0.8782063702756283,9,2.0
0.05,2.0,rpca,0.8782063702756283,9,2.0
0.05,2.0,outlier_pursuit,0.018639764244343528,9,2.0
0.05,4.0,spectral_unnormalized,0.7577078109175857,0,2.0
0.05,4.0,rpca,0.7577078109175857,0,2.0
0.05,4.0,outlier_pursuit,0.018639764244343528,0,2.0
0.05,4.0,spectral_unnormalized,0.8585594574581795,1,2.0
0.05,4.0,rpca,0.8782063702756283,1,2.0
0.05,4.0,outlier_pursuit,0.018639764244343528,1,2.0
0.05,4.0,spectral_unnormalized,0.8782063702756283,2,2.0
0.05,4.0,rpca,0.8782063702756283,2,2.0
0.05,4.0,outlier_pursuit,0.018639764244343528,2,2.0
0.05,4.0,spectral_unnormalized,0.8079616479391555,3,2.0
0.05,4.0,rpca,0.8585594574581797,3,2.0
0.05,4.0,outlier_pursuit,0.018639764244343528,3,2.0
0.05,4.0,spectral_unnormalized,0.7648442977525683,4,2.0
