sigma,method,nmi,simulation,signal_strength
0.1,spectral_unnormalized,1.0,0,199.99999999999997
0.1,rpca,1.0,0,199.99999999999997
0.1,outlier_pursuit,1.0,0,199.99999999999997
0.1,spectral_unnormalized,1.0,1,199.99999999999997
0.1,rpca,1.0,1,199.99999999999997
0.1,outlier_pursuit,1.0,1,199.99999999999997
0.1,spectral_unnormalized,1.0,2,199.99999999999997
0.1,rpca,1.0,2,199.99999999999997
0.1,outlier_pursuit,1.0,2,199.99999999999997
0.1,spectral_unnormalized,1.0,3,199.99999999999997
0.1,rpca,1.0,3,199.99999999999997
0.1,outlier_pursuit,1.0,3,199.99999999999997
0.1,spectral_unnormalized,1.0,4,199.99999999999997
0.1,rpca,1.0,4,199.99999999999997
0.1,outlier_pursuit,1.0,4,199.99999999999997
0.1,spectral_unnormalized,1.0,5,199.99999999999997
0.1,rpca,1.0,5,199.99999999999997
0.1,outlier_pursuit,1.0,5,199.99999999999997
0.1,spectral_unnormalized,1.0,6,199.99999999999997
0.1,rpca,1.0,6,199.99999999999997
0.1,outlier_pursuit,1.0,6,199.99999999999997
0.1,spectral_unnormalized,1.0,7,199.99999999999997
0.1,rpca,1.0,7,199.99999999999997
0.1,outlier_pursuit,1.0,7,199.99999999999997
0.1,spectral_unnormalized,1.0,8,199.99999999999997
0.1,rpca,1.0,8,199.99999999999997
0.1,outlier_pursuit,1.0,8,199.99999999999997
0.1,spectral_unnormalized,1.0,9,199.99999999999997
0.1,rpca,1.0,9,199.99999999999997
0.1,outlier_pursuit,1.0,9,199.99999999999997
0.139,spectral_unnormalized,1.0,0,103.51431085347546
0.139,rpca,1.0,0,103.51431085347546
0.139,outlier_pursuit,1.0,0,103.51431085347546
0.139,spectral_unnormalized,1.0,1,103.51431085347546
0.139,rpca,1.0,1,103.51431085347546
0.139,outlier_pursuit,1.0,1,103.51431085347546
0.139,spectral_unnormalized,1.0,2,103.51431085347546
0.139,rpca,1.0,2,103.51431085347546
0.139,outlier_pursuit,1.0,2,103.51431085347546
0.139,spectral_unnormalized,1.0,3,103.51431085347546
0.139,rpca,1.0,3,103.51431085347546
0.139,outlier_pursuit,1.0,3,103.51431085347546
0.139,spectral_unnormalized,1.0,4,103.51431085347546
0.139,rpca,1.0,4,103.51431085347546
0.139,outlier_pursuit,1.0,4,103.51431085347546
0.139,spectral_unnormalized,1.0,5,103.51431085347546
0.139,rpca,1.0,5,103.51431085347546
0.139,outlier_pursuit,1.0,5,103.51431085347546
0.139,spectral_unnormalized,1.0,6,103.51431085347546
0.139,rpca,1.0,6,103.51431085347546
0.139,outlier_pursuit,1.0,6,103.51431085347546
0.139,spectral_unnormalized,1.0,7,103.51431085347546
0.139,rpca,1.0,7,103.51431085347546
0.139,outlier_pursuit,1.0,7,103.51431085347546
0.139,spectral_unnormalized,1.0,8,103.51431085347546
0.139,rpca,1.0,8,103.51431085347546
0.139,outlier_pursuit,1.0,8,103.51431085347546
0.139,spectral_unnormalized,1.0,9,103.51431085347546
0.139,rpca,1.0,9,103.51431085347546
0.139,outlier_pursuit,1.0,9,103.51431085347546
0.193,spectral_unnormalized,1.0,0,53.69271658299551
0.193,rpca,1.0,0,53.69271658299551
0.193,outlier_pursuit,1.0,0,53.69271658299551
0.193,spectral_unnormalized,1.0,1,53.69271658299551
0.193,rpca,1.0,1,53.69271658299551
0.193,outlier_pursuit,1.0,1,53.69271658299551
0.193,spectral_unnormalized,1.0,2,53.69271658299551
0.193,rpca,1.0,2,53.69271658299551
0.193,outlier_pursuit,1.0,2,53.69271658299551
0.193,spectral_unnormalized,1.0,3,53.69271658299551
0.193,rpca,1.0,3,53.69271658299551
0.193,outlier_pursuit,1.0,3,53.69271658299551
0.193,spectral_unnormalized,1.0,4,53.69271658299551
0.193,rpca,1.0,4,53.69271658299551
0.193,outlier_pursuit,1.0,4,53.69271658299551
0.193,spectral_unnormalized,1.0,5,53.69271658299551
0.193,rpca,1.0,5,53.69271658299551
0.193,outlier_pursuit,1.0,5,53.69271658299551
0.193,spectral_unnormalized,1.0,6,53.69271658299551
0.193,rpca,1.0,6,53.69271658299551
0.193,outlier_pursuit,1.0,6,53.69271658299551
0.193,spectral_unnormalized,1.0,7,53.69271658299551
0.193,rpca,1.0,7,53.69271658299551
0.193,outlier_pursuit,1.0,7,53.69271658299551
0.193,spectral_unnormalized,1.0,8,53.69271658299551
0.193,rpca,1.0,8,53.69271658299551
0.193,outlier_pursuit,1.0,8,53.69271658299551
0.193,spectral_unnormalized,1.0,9,53.69271658299551
0.193,rpca,1.0,9,53.69271658299551
0.193,outlier_pursuit,1.0,9,53.69271658299551
0.268,spectral_unnormalized,1.0,0,27.845845399866334
0.268,rpca,1.0,0,27.845845399866334
0.268,outlier_pursuit,1.0,0,27.845845399866334
0.268,spectral_unnormalized,1.0,1,27.845845399866334
0.268,rpca,1.0,1,27.845845399866334
0.268,outlier_pursuit,1.0,1,27.845845399866334
0.268,spectral_unnormalized,1.0,2,27.845845399866334
0.268,rpca,1.0,2,27.845845399866334
0.268,outlier_pursuit,1.0,2,27.845845399866334
0.268,spectral_unnormalized,1.0,3,27.845845399866334
0.268,rpca,1.0,3,27.845845399866334
0.268,outlier_pursuit,1.0,3,27.845845399866334
0.268,spectral_unnormalized,1.0,4,27.845845399866334
0.268,rpca,1.0,4,27.845845399866334
0.268,outlier_pursuit,1.0,4,27.845845399866334
0.268,spectral_unnormalized,1.0,5,27.845845399866334
0.268,rpca,1.0,5,27.845845399866334
0.268,outlier_pursuit,1.0,5,27.845845399866334
0.268,spectral_unnormalized,1.0,6,27.845845399866334
0.268,rpca,1.0,6,27.845845399866334
0.268,outlier_pursuit,1.0,6,27.845845399866334
0.268,spectral_unnormalized,1.0,7,27.845845399866334
0.268,rpca,1.0,7,27.845845399866334
0.268,outlier_pursuit,1.0,7,27.845845399866334
0.268,spectral_unnormalized,1.0,8,27.845845399866334
0.268,rpca,1.0,8,27.845845399866334
0.268,outlier_pursuit,1.0,8,27.845845399866334
0.268,spectral_unnormalized,1.0,9,27.845845399866334
0.268,rpca,1.0,9,27.845845399866334
0.268,outlier_pursuit,1.0,9,27.845845399866334
0.373,spectral_unnormalized,1.0,0,14.375148243716263
0.373,rpca,1.0,0,14.375148243716263
0.373,outlier_pursuit,1.0,0,14.375148243716263
0.373,spectral_unnormalized,1.0,1,14.375148243716263
0.373,rpca,1.0,1,14.375148243716263
0.373,outlier_pursuit,1.0,1,14.375148243716263
0.373,spectral_unnormalized,1.0,2,14.375148243716263
0.373,rpca,1.0,2,14.375148243716263
0.373,outlier_pursuit,1.0,2,14.375148243716263
0.373,spectral_unnormalized,1.0,3,14.375148243716263
0.373,rpca,1.0,3,14.375148243716263
0.373,outlier_pursuit,1.0,3,14.375148243716263
0.373,spectral_unnormalized,1.0,4,14.375148243716263
0.373,rpca,1.0,4,14.375148243716263
0.373,outlier_pursuit,1.0,4,14.375148243716263
0.373,spectral_unnormalized,1.0,5,14.375148243716263
0.373,rpca,1.0,5,14.375148243716263
0.373,outlier_pursuit,1.0,5,14.375148243716263
0.373,spectral_unnormalized,1.0,6,14.375148243716263
0.373,rpca,1.0,6,14.375148243716263
0.373,outlier_pursuit,1.0,6,14.375148243716263
0.373,spectral_unnormalized,1.0,7,14.375148243716263
0.373,rpca,1.0,7,14.375148243716263
0.373,outlier_pursuit,1.0,7,14.375148243716263
0.373,spectral_unnormalized,1.0,8,14.375148243716263
0.373,rpca,1.0,8,14.375148243716263
0.373,outlier_pursuit,1.0,8,14.375148243716263
0.373,spectral_unnormalized,1.0,9,14.375148243716263
0.373,rpca,1.0,9,14.375148243716263
0.373,outlier_pursuit,1.0,9,14.375148243716263
0.518,spectral_unnormalized,1.0,0,7.45367540734336
0.518,rpca,1.0,0,7.45367540734336
0.518,outlier_pursuit,0.018639764244343528,0,7.45367540734336
0.518,spectral_unnormalized,1.0,1,7.45367540734336
0.518,rpca,1.0,1,7.45367540734336
0.518,outlier_pursuit,0.018639764244343528,1,7.45367540734336
0.518,spectral_unnormalized,1.0,2,7.45367540734336
0.518,rpca,1.0,2,7.45367540734336
0.518,outlier_pursuit,0.018639764244343528,2,7.45367540734336
0.518,spectral_unnormalized,1.0,3,7.45367540734336
0.518,rpca,1.0,3,7.45367540734336
0.518,outlier_pursuit,0.018639764244343528,3,7.45367540734336
0.518,spectral_unnormalized,1.0,4,7.45367540734336
0.518,rpca,1.0,4,7.45367540734336
0.518,outlier_pursuit,0.018639764244343528,4,7.45367540734336
0.518,spectral_unnormalized,1.0,5,7.45367540734336
0.518,rpca,1.0,5,7.45367540734336
0.518,outlier_pursuit,0.018639764244343528,5,7.45367540734336
0.518,spectral_unnormalized,1.0,6,7.45367540734336
0.518,rpca,1.0,6,7.45367540734336
0.518,outlier_pursuit,0.018639764244343528,6,7.45367540734336
0.518,spectral_unnormalized,1.0,7,7.45367540734336
0.518,rpca,1.0,7,7.45367540734336
0.518,outlier_pursuit,0.018639764244343528,7,7.45367540734336
0.518,spectral_unnormalized,1.0,8,7.45367540734336
0.518,rpca,1.0,8,7.45367540734336
0.518,outlier_pursuit,0.018639764244343528,8,7.45367540734336
0.518,spectral_unnormalized,1.0,9,7.45367540734336
0.518,rpca,1.0,9,7.45367540734336
0.518,outlier_pursuit,0.018639764244343528,9,7.45367540734336
0.72,spectral_unnormalized,1.0,0,3.858024691358025
0.72,rpca,1.0,0,3.858024691358025
0.72,outlier_pursuit,0.018639764244343528,0,3.858024691358025
0.72,spectral_unnormalized,1.0,1,3.858024691358025
0.72,rpca,1.0,1,3.858024691358025
0.72,outlier_pursuit,0.018639764244343528,1,3.858024691358025
0.72,spectral_unnormalized,1.0,2,3.858024691358025
0.72,rpca,1.0,2,3.858024691358025
0.72,outlier_pursuit,0.018639764244343528,2,3.858024691358025
0.72,spectral_unnormalized,1.0,3,3.858024691358025
0.72,rpca,1.0,3,3.858024691358025
0.72,outlier_pursuit,0.018639764244343528,3,3.858024691358025
0.72,spectral_unnormalized,1.0,4,3.858024691358025
0.72,rpca,1.0,4,3.858024691358025
0.72,outlier_pursuit,0.018639764244343528,4,3.858024691358025
0.72,spectral_unnormalized,1.0,5,3.858024691358025
0.72,rpca,1.0,5,3.858024691358025
0.72,outlier_pursuit,0.018639764244343528,5,3.858024691358025
0.72,spectral_unnormalized,1.0,6,3.858024691358025
0.72,rpca,1.0,6,3.858024691358025
0.72,outlier_pursuit,0.018639764244343528,6,3.858024691358025
0.72,spectral_unnormalized,1.0,7,3.858024691358025
0.72,rpca,1.0,7,3.858024691358025
0.72,outlier_pursuit,0.018639764244343528,7,3.858024691358025
0.72,spectral_unnormalized,1.0,8,3.858024691358025
0.72,rpca,1.0,8,3.858024691358025
0.72,outlier_pursuit,0.018639764244343528,8,3.858024691358025
0.72,spectral_unnormalized,1.0,9,3.858024691358025
0.72,rpca,1.0,9,3.858024691358025
0.72,outlier_pursuit,0.018639764244343528,9,3.858024691358025
1.0,spectral_unnormalized,1.0,0,2.0
1.0,rpca,1.0,0,2.0
1.0,outlier_pursuit,0.018639764244343528,0,2.0
1.0,spectral_unnormalized,1.0,1,2.0
1.0,rpca,1.0,1,2.0
1.0,outlier_pursuit,0.018639764244343528,1,2.0
1.0,spectral_unnormalized,1.0,2,2.0
1.0,rpca,1.0,2,2.0
1.0,outlier_pursuit,0.018639764244343528,2,2.0
1.0,spectral_unnormalized,1.0,3,2.0
1.0,rpca,1.0,3,2.0
1.0,outlier_pursuit,0.018639764244343528,3,2.0
1.0,spectral_unnormalized,1.0,4,2.0
1.0,rpca,1.0,4,2.0
1.0,outlier_pursuit,0.018639764244343528,4,2.0
1.0,spectral_unnormalized,1.0,5,2.0
1.0,rpca,1.0,5,2.0
1.0,outlier_pursuit,0.018639764244343528,5,2.0
1.0,spectral_unnormalized,1.0,6,2.0
1.0,rpca,1.0,6,2.0
1.0,outlier_pursuit,0.018639764244343528,6,2.0
1.0,spectral_unnormalized,1.0,7,2.0
1.0,rpca,1.0,7,2.0
1.0,outlier_pursuit,0.018639764244343528,7,2.0
1.0,spectral_unnormalized,1.0,8,2.0
1.0,rpca,1.0,8,2.0
1.0,outlier_pursuit,0.018639764244343528,8,2.0
1.0,spectral_unnormalized,1.0,9,2.0
1.0,rpca,1.0,9,2.0
1.0,outlier_pursuit,0.018639764244343528,9,2.0
1.389,spectral_unnormalized,1.0,0,1.0366341319044368
1.389,rpca,1.0,0,1.0366341319044368
1.389,outlier_pursuit,0.018639764244343528,0,1.0366341319044368
1.389,spectral_unnormalized,1.0,1,1.0366341319044368
1.389,rpca,1.0,1,1.0366341319044368
1.389,outlier_pursuit,0.018639764244343528,1,1.0366341319044368
1.389,spectral_unnormalized,1.0,2,1.0366341319044368
1.389,rpca,1.0,2,1.0366341319044368
1.389,outlier_pursuit,0.018639764244343528,2,1.0366341319044368
1.389,spectral_unnormalized,1.0,3,1.0366341319044368
1.389,rpca,1.0,3,1.0366341319044368
1.389,outlier_pursuit,0.018639764244343528,3,1.0366341319044368
1.389,spectral_unnormalized,1.0,4,1.0366341319044368
